Actual test,Predicted_value
73,103.83055054930202
12603,106.87132954359015
20,98.05307046015457
16,98.965304158441
166,105.29012446656031
167,103.0399480107871
183,98.90448857855525
13,108.27008788096268
215,104.31707518838812
10,116.1761132661118
44,94.76902914632339
140,93.97842660780847
224,94.70821356643762
84,88.20094651866103
79,98.11388604004034
174,91.18090993306339
124,95.68126284460982
7,101.0938494544427
22,101.76282083318608
36,99.9383534366132
35,88.50502441808985
0,81.87612621054173
66,88.86991789740442
124,91.30254109283493
6,96.41104980323898
61,97.44491466129693
45,99.51264437741287
29,96.47186538312474
80,94.95147588598067
47,102.24934547227218
2,89.234811376719
154,90.75520087386306
113,88.01849977900375
38,98.6612262590122
108,97.9922548802688
63,95.62044726472406
35,89.59970485603358
64,108.51335020050573
54,111.91902267410842
102,97.44491466129693
17,106.50643606427556
194,105.35094004644608
95,91.18090993306339
98,120.98054407708705
32,90.45112297443424
11,81.32878599156987
39,91.6674345721495
275,103.95218170907353
107,93.18782406929355
175,88.62665557786137
2,97.0192056020966
97,115.50714188736842
32,97.93143930038303
25,96.71512770266779
56,105.10767772690303
27,90.39030739454849
22,110.09455527753556
34,113.1353342718237
10,120.43320385811518
2,97.44491466129693
21,95.43800052506677
113,88.38339325831832
144,91.97151247157831
4,111.97983825399419
99,108.8782436798203
11,109.48639947867792
147,120.37238827822944
57,120.12912595868639
25,78.83534721625361
47,90.08622949511968
10,95.31636936529526
218,103.34402591021592
80,96.41104980323898
7,116.05448210634029
15,97.0192056020966
141,88.7482867376329
18,93.61353312849391
89,83.7005936071146
26,97.87062372049728
218,96.47186538312474
59,91.8498813118068
53,81.02470809214105
35,94.89066030609492
45,108.20927230107691
1,107.66193208210505
99,92.39722153077865
57,117.08834696439826
20,102.12771431250066
63,114.2300147097674
49,88.56583999797562
34,112.16228499365147
138,114.47327702931045
141,102.49260779181523
43,102.553423371701
130,84.24793382608647
1,119.2777078402857
32,96.04615632392441
128,85.03853636460138
172,112.04065383387996
113,89.11318021694748
156,119.46015457994298
167,100.85058713489965
47,84.49119614562952
115,81.38960157145563
15,99.9383534366132
31,105.35094004644608
47,86.55892586174545
43,95.49881610495254
8,120.737281757544
32,89.47807369626204
15,108.51335020050573
31,97.93143930038303
106,99.87753785672744
180,87.04545050083155
31,89.96459833534814
206,102.12771431250066
7,107.54030092233353
64,92.03232805146408
27,93.37027080895085
185,119.46015457994298
15,84.36956498585799
86,92.51885269055018
36,83.82222476688614
169,99.57345995729864
47,86.1332168025451
141,96.71512770266779
29,119.2777078402857
125,94.64739798655187
25,94.10005776758001
21,89.53888927614781
22,86.37647912208816
3,94.34332008712306
14,93.06619290952204
47,89.7213360158051
19,90.81601645374883
82,112.10146941376573
90,87.41034398014612
26,111.25005129536504
76,96.04615632392441
5,113.80430565056707
81,103.58728822975897
107,118.91281436097111
856,120.06831037880062
6,103.34402591021592
103,89.84296717557663
107,121.52788429605891
212,97.56654582106847
145,100.30324691592779
47,95.31636936529526
140,91.91069689169255
11,114.59490818908199
16,108.45253462061996
4,95.13392262563796
3,92.27559037100713
8,97.87062372049728
73,95.43800052506677
16,86.25484796231663
34,106.62806722404709
5,89.35644253649053
13,86.68055702151696
211,92.03232805146408
58,107.47948534244776
31,101.51955851364303
60,88.14013093877527
59,118.36547414199927
121,88.80910231751866
208,86.68055702151696
148,92.88374616986475
6,101.82363641307185
170,90.93764761352034
197,100.24243133604202
83,97.56654582106847
54,111.61494477467963
146,82.78835990882817
50,98.78285741878372
100,100.54650923547084
16,118.66955204142806
14,121.28462197651587
57,109.42558389879217
90,95.25555378540949
4,114.83817050862504
17,98.1747016199261
10,116.11529768622606
157,90.93764761352034
44,93.18782406929355
1,119.58178573971452
4,110.1553708574213
73,87.71442187957493
4,102.00608315272913
90,93.97842660780847
519,87.10626608071732
88,117.45324044371282
80,92.822930589979
21,108.45253462061996
69,104.0129972889593
38,113.43941217125248
168,84.36956498585799
7,105.59420236598913
78,92.6404838503217
55,97.93143930038303
5,101.51955851364303
120,80.17328997374038
181,88.56583999797562
117,84.1871182462007
484,93.67434870837967
183,99.81672227684169
3,92.27559037100713
31,92.3364059508929
2,101.15466503432846
52,84.97772078471561
154,101.88445199295761
12,106.38480490450404
113,93.1270084894078
51,116.54100674542639
263,93.3094552290651
29,122.07522451503078
28,89.96459833534814
33,115.14224840805386
3,87.95768419911798
2,97.0192056020966
70,101.88445199295761
2,91.72825015203526
70,91.91069689169255
213,104.80359982747422
