Actual test,Predicted value
32,56.13459778
26,56.31565857
81,105.7907257
19,72.26464844
7,63.93890381
171,79.61070251
75,119.3663635
32,54.64938354
123,121.2911987
7,104.5236053
18,60.83805847
36,112.2680206
50,92.22337341
74,135.8968658
1,205.7138214
28,91.69648743
18,145.3674774
160,103.4786835
74,123.5754852
215,139.472641
10,63.19485474
86,47.70596313
188,81.53456116
20,64.8724823
69,71.02778625
274,103.7674255
234,107.7980042
105,83.64649963
99,112.5228119
0,53.53544617
49,84.56790161
2,75.67741394
37,92.9054718
87,111.062912
69,80.15107727
22,66.77183533
79,68.92158508
150,89.27520752
144,220.568161
8,59.73905945
137,80.73982239
69,68.95448303
10,30.21192932
13,65.40516663
12,71.43370056
1,120.84758
2650,76.97920227
10,58.5657196
0,53.39425659
63,106.8713837
21,119.397934
2,59.42384338
115,72.94340515
9,79.60714722
70,141.5502472
47,88.85624695
3,74.84431458
108,157.7934723
4,98.14625549
158,140.4927521
11,125.4637756
14,82.75770569
65,46.44372559
20,109.8436432
34,50.81748962
13,69.26496887
171,71.44345093
3,74.74998474
8,54.60499573
39,56.03994751
20,74.61682129
103,93.02119446
14,52.91517639
59,75.1098175
50,59.28495789
6,97.19502258
13,138.4375763
49,153.4450378
7,34.55969238
59,127.5410767
2,75.99266052
61,108.5303192
238,55.12031555
10,87.0630188
182,62.56550598
136,50.21850586
52,49.54449463
256,106.4264069
4,41.40281677
106,125.0774078
136,78.9125824
11,92.98171997
61,105.9758606
4,73.43528748
107,74.73707581
138,110.1013336
21,95.06282043
114,103.8125458
76,35.90689087
123,81.02897644
2,85.61775208
0,76.95536804
314,167.9533844
4,53.44577026
54,70.40000916
49,64.05140686
55,57.92195129
40,58.47206116
281,43.51927185
126,81.43235779
54,60.38063049
153,142.2823334
76,69.176651
161,99.16807556
154,103.2404938
2,62.20674133
10,126.9513092
23,121.3067932
49,116.2876587
15,106.8185883
18,86.23364258
20,102.9154205
20,111.7687225
159,43.67018127
217,56.03857422
72,99.76931763
28,60.18748474
123,63.82670593
226,85.88423157
76,79.41355896
205,84.59849548
241,180.0348969
11,61.71270752
62,120.1368866
197,71.15664673
36,106.1692047
40,154.3494873
144,178.742691
14,90.45814514
1,63.21800232
101,86.42936707
220,106.4264069
58,78.62417603
19,150.0355072
5,22.74552917
100,70.34254456
8,86.33496094
78,110.653717
115,110.7212219
68,83.04214478
2,88.00424194
1190,86.22251892
148,140.9172516
13,74.78056335
5,113.5831451
30,80.89710999
16,78.87654114
120,72.46412659
50,57.51837158
188,46.62361145
96,87.41143799
82,109.0842285
22,113.7923737
65,72.48078918
93,76.4105072
87,88.64538574
5,80.54533386
5,80.26193237
51,60.02882385
52,55.74812317
64,52.23638916
163,56.49639893
66,78.91844177
95,102.8886719
203,113.5616913
26,64.13496399
52,106.6627655
66,76.52601624
13,77.76304626
89,67.7865448
95,72.90571594
185,106.7689972
9,69.51524353
9,85.96118164
77,81.59181213
126,146.3125458
149,81.00080872
8,73.07655334
42,56.60148621
