Actual test,Predicted_value
81,103.7374055
37,108.8461138
11,129.8796237
43,129.1612116
120,113.1166746
49,115.7109405
662,136.7444505
181,117.467059
47,111.6399386
76,103.4181112
43,122.5358555
1,105.2141415
1,113.6754396
115,112.7574685
46,113.8350867
12,108.8461138
13,125.4893275
41,111.8394975
30,115.0324402
107,118.1056475
281,110.8017911
39,115.5512934
182,101.6220809
235,110.8417029
154,136.6247151
79,107.5689367
175,123.4139148
3,111.4403797
68,104.0966115
5,109.5246141
71,104.6154647
10,111.6399386
27,113.8749985
25,115.3118227
113,130.4783004
39,114.2342045
180,121.6577963
22,126.0880043
4,115.3118227
161,120.0214132
73,112.7574685
51,120.1012367
9,104.8150236
117,123.733209
17,112.2785271
22,109.165408
325,110.2031144
101,115.072352
8,128.163417
15,117.6267061
47,120.8196488
36,121.338502
106,113.2364099
9,108.9259373
469,83.14292514
241,115.2719109
4,110.083379
41,123.6932972
11,115.1122638
598,81.02760062
100,109.1254962
1,109.5246141
63,111.6000268
20,111.200909
48,105.0145825
80,121.897267
7,114.513587
17,105.0944061
53,131.5160068
3,113.3561453
91,124.3717976
4,104.6553765
32,116.5091762
113,106.770701
140,117.6267061
263,124.8108272
32,107.5689367
151,108.806202
221,109.724173
18,111.9592329
16,111.8394975
87,111.9991447
255,111.7197622
807,133.5914196
215,122.0569141
47,126.9660635
14,117.1477647
5,113.1964982
35,113.6355278
25,114.5934106
246,106.5312303
69,110.3228497
12,108.2075252
146,116.1100584
9,113.3561453
3,108.4869077
89,112.3583507
37,110.0035555
224,111.3206443
76,109.2851434
73,113.3162335
148,125.6090628
81,121.6178845
26,116.6688233
60,114.0346456
7,129.3208587
28,114.7929695
34,125.6090628
32,120.7398253
90,117.1876765
89,104.0966115
34,110.8017911
93,103.0589051
15,114.9526166
118,114.6333224
210,116.6289115
112,101.7418163
9,113.7552631
47,115.1920873
15,107.8084074
150,116.7486469
218,115.2319991
33,121.2985902
33,106.6110539
131,113.3561453
9,117.3473237
10,114.0346456
15,124.8906507
80,120.1012367
15505,126.2476514
46,118.6644125
206,120.2209721
39,110.7618794
729,133.2721253
1,115.1122638
275,116.3096173
22,111.1609972
7,113.4758806
90,118.5446772
1366,108.0877899
119,133.1124782
659,81.90565985
123,110.7618794
122,117.1477647
159,107.2895542
5,118.025824
57,101.7019045
63,129.0414762
1116,118.38503
28,111.6798504
37,125.9682689
36,124.4117093
6,120.0613249
298,111.3605561
